id,idade,renda_anual,pontuacao_gastos,cluster
131,51,58513,85,2
132,50,46092,33,2
133,65,31338,7,2
134,40,20412,39,2
135,41,27543,82,2
136,54,125891,41,1
137,52,53496,40,2
138,61,80692,100,2
139,57,109084,5,1
140,39,112920,51,1
141,44,143555,25,1
142,52,64425,63,2
143,18,58756,97,0
144,52,38888,58,2
145,54,55735,55,2
146,64,67295,58,2
147,31,137474,69,1
148,20,134352,100,0
149,18,103042,32,0
150,22,105999,52,0
151,43,37955,21,2
152,31,57841,20,0
153,56,90640,69,1
154,44,85510,69,2
155,26,54911,3,0
156,32,79031,93,0
157,32,108726,74,0
158,43,27357,61,2
159,59,52479,61,2
160,30,81476,93,0
161,68,64811,94,2
162,49,56208,23,2
163,56,40150,54,2
164,66,91180,8,1
165,69,63286,2,2
166,49,132856,30,1
167,21,88450,39,0
168,47,41352,100,2
169,54,75069,35,2
170,40,131888,23,1
171,56,130448,94,1
172,62,34397,5,2
173,32,61555,65,0
174,60,66959,83,2
175,46,20728,91,2
176,53,70517,74,2
177,30,139180,3,0
178,49,86234,78,2
179,24,59954,5,0
180,68,67280,93,2
181,39,99459,50,0
182,45,36779,61,2
183,19,83932,56,0
184,59,92936,65,1
185,62,44466,78,2
186,70,56939,74,2
187,23,89896,7,0
188,45,55270,25,2
189,45,79163,50,2
190,61,102637,44,1
191,61,71934,43,2
192,37,84895,4,0
193,47,52307,69,2
194,28,74098,25,0
195,45,80921,67,2
196,42,25486,18,2
197,56,28335,83,2
198,50,106900,96,1
199,18,146020,19,0
200,44,141954,11,1
201,69,122795,46,1
202,30,109112,0,0
203,58,117203,89,1
204,20,31130,13,0
205,56,107508,63,1
206,23,125955,37,0
207,25,138324,36,0
208,44,80566,10,0
209,26,86703,99,0
210,54,47192,76,2
211,50,21062,2,2
212,68,104076,32,1
213,59,109780,5,1
214,61,41545,49,2
215,41,41689,9,2
216,32,31174,4,0
217,49,108461,22,1
218,49,146174,9,1
219,41,123033,43,1
220,58,29348,1,2
221,69,43714,12,2
222,66,58102,39,2
223,66,94460,1,1
224,69,122634,83,1
225,29,109930,64,0
226,56,26801,62,2
227,19,123150,100,0
228,20,92267,72,0
229,66,68136,16,2
230,54,43625,8,2
231,66,102873,74,1
232,34,120843,14,0
233,66,92592,23,1
234,19,97052,37,0
235,19,64261,34,0
236,45,21542,93,2
237,40,41677,94,2
238,54,66732,48,2
239,49,70343,68,2
240,50,59081,61,2
241,18,82856,59,0
242,36,113105,49,0
243,19,108858,77,0
244,70,39065,74,2
245,61,144097,8,1
246,43,103460,33,1
247,49,108092,75,1
248,23,146116,98,0
249,49,74693,34,2
250,21,46962,0,0
251,28,48295,39,0
252,34,33807,63,2
253,55,62348,21,2
254,41,46432,59,2
255,22,103285,63,0
256,69,126995,92,1
257,51,111792,71,1
258,23,77854,10,0
259,39,60262,100,2
260,28,57080,13,0
261,65,21324,59,2
262,33,111267,29,0
263,50,144707,34,1
264,26,55909,84,0
265,23,109339,36,0
266,33,39870,4,0
267,46,54578,82,2
268,20,92124,77,0
269,37,137611,25,1
270,53,123605,61,1
271,36,46790,3,0
272,43,138874,88,1
273,20,45289,41,0
274,36,75129,88,0
275,37,113714,17,0
276,49,114246,39,1
277,24,35485,71,0
278,69,64482,38,2
279,58,106188,13,1
280,50,24748,31,2
281,57,106769,50,1
282,56,29435,37,2
283,35,23709,96,2
284,57,143961,22,1
285,18,50355,62,0
286,28,75771,14,0
287,45,77799,96,2
288,42,33116,24,2
289,67,45470,16,2
290,40,62344,96,2
291,48,62918,65,2
292,47,72224,77,2
293,59,59298,52,2
294,52,128492,50,1
295,24,100219,38,0
296,33,81629,50,0
297,43,86040,69,2
298,65,119518,5,1
299,69,119835,66,1
300,66,48016,6,2
301,19,43960,50,0
302,18,53591,71,0
303,65,102848,41,1
304,29,123333,63,0
305,22,131732,14,0
306,54,134821,28,1
307,49,87641,32,1
308,26,56395,93,0
309,58,131276,26,1
310,52,149695,35,1
311,36,42700,28,0
312,65,54620,37,2
313,33,123214,56,0
314,20,148148,96,0
315,37,40559,100,2
316,41,113045,26,1
317,50,113396,54,1
318,41,81642,32,0
319,69,96539,67,1
320,28,41732,85,0
321,66,148675,65,1
322,25,111362,9,0
323,53,50354,4,2
324,55,33843,73,2
325,57,130008,96,1
326,37,134065,37,1
327,52,91726,12,1
328,65,37640,30,2
329,42,72528,46,2
330,52,58413,99,2
331,42,148142,87,1
332,46,72638,51,2
333,35,72736,55,0
334,63,127892,14,1
335,35,130133,28,1
336,19,126357,7,0
337,52,88866,4,1
338,33,39087,28,0
339,58,61430,46,2
340,53,44504,67,2
341,50,27114,75,2
342,21,98859,44,0
343,50,119657,1,1
344,31,30975,26,0
345,38,31023,94,2
346,65,41447,35,2
347,37,110469,35,0
348,25,145899,25,0
349,24,43959,42,0
350,20,86203,26,0
351,34,139156,68,1
352,50,49703,19,2
353,65,29337,10,2
354,29,66427,73,0
355,68,141507,37,1
356,39,81529,5,0
357,39,122023,71,1
358,63,104665,22,1
359,47,125787,46,1
360,55,51921,89,2
361,55,53307,45,2
362,62,47355,11,2
363,68,123268,89,1
364,25,147016,12,0
365,44,24835,61,2
366,44,40159,81,2
367,51,124346,88,1
368,38,67605,96,2
369,47,141790,59,1
370,50,125616,42,1
371,45,58088,75,2
372,64,98752,99,1
373,50,75284,67,2
374,22,77043,4,0
375,65,145388,36,1
376,36,55547,71,2
377,21,117007,91,0
378,52,102844,30,1
379,66,47532,8,2
380,34,54349,50,0
381,61,142402,28,1
382,45,138012,77,1
383,47,65445,39,2
384,46,25713,40,2
385,63,76178,85,2
386,70,69407,10,2
387,23,90340,22,0
388,52,70990,0,2
389,58,95672,45,1
390,54,149473,100,1
391,41,85545,20,0
392,46,104791,89,1
393,66,78141,35,2
394,63,43793,53,2
395,70,76570,86,2
396,48,115084,56,1
397,52,57892,0,2
398,50,21015,62,2
399,69,144704,53,1
400,38,81813,54,0
401,49,47712,39,2
402,40,120497,14,1
403,50,28415,20,2
404,20,131854,46,0
405,35,132816,72,1
406,42,148778,52,1
407,59,82292,8,1
408,48,43833,73,2
409,20,24158,51,0
410,57,82680,56,2
411,63,40309,25,2
412,41,26970,40,2
413,67,92474,34,1
414,49,106704,62,1
415,64,66540,24,2
416,39,40384,89,2
417,40,38017,74,2
418,19,95880,37,0
419,44,125570,1,1
420,59,28702,6,2
421,19,20384,81,0
422,43,20404,90,2
423,34,60943,33,0
424,57,67926,90,2
425,50,49189,16,2
426,26,32763,42,0
427,60,38384,58,2
428,65,80100,50,2
429,56,118142,53,1
430,46,29860,23,2
431,59,124293,24,1
432,43,100642,70,1
433,52,70612,51,2
434,67,43574,69,2
435,42,43524,87,2
436,41,89172,32,0
437,30,30916,48,0
438,24,24809,28,0
439,53,52201,62,2
440,62,73330,21,2
441,37,33456,25,2
442,18,133748,27,0
443,25,76397,84,0
444,63,141288,48,1
445,33,58765,70,0
446,31,54816,80,0
447,29,65106,83,0
448,68,73932,48,2
449,40,37100,19,2
450,32,77091,85,0
451,45,41949,91,2
452,51,90080,62,1
453,19,57744,60,0
454,49,65543,48,2
455,40,128319,70,1
456,39,112193,0,0
457,68,56187,95,2
458,42,132734,12,1
459,39,27239,93,2
460,39,144454,86,1
461,66,34489,50,2
462,69,134937,55,1
463,59,78017,82,2
464,23,81877,61,0
465,32,63125,31,0
466,60,69922,29,2
467,54,114074,28,1
468,50,52049,48,2
469,25,57131,44,0
470,70,62944,92,2
471,61,135765,29,1
472,61,93963,15,1
473,22,126884,39,0
474,56,145917,18,1
475,21,44285,17,0
476,23,57626,0,0
477,62,62808,77,2
478,49,108464,46,1
479,69,73871,65,2
480,47,39198,91,2
481,64,39758,93,2
482,52,35254,37,2
483,57,64238,50,2
484,69,21252,62,2
485,33,59764,3,0
486,30,97709,0,0
487,67,57441,7,2
488,59,112234,28,1
489,47,73682,54,2
490,36,79494,2,0
491,34,101317,31,0
492,36,85215,9,0
493,45,98587,73,1
494,43,125185,82,1
495,54,26949,33,2
496,43,127825,96,1
497,70,75393,86,2
498,40,93553,54,0
499,26,26941,91,0
500,29,45934,31,0
